"Reference","Value","LCSC"
"C1,C2,C3,C4,C11,C12","4700u","C443892"
"C5,C6","10u","C14162"
"C7,C8,C13","10u","C328801"
"C9,C10,C14","100n","C1945"
"C15","10n","C55077"
"C16,C18,C20,C22","1000u","C122661"
"C17,C19,C21,C23","470u","C116237"
"D1,D2,D3,D4","1N5404","C222547"
"D5,D6","GBJ2510","C27523"
"D7,D8,D9","1N4148","C2099"
"J2,J4,J5,J9","OUT_ANLG,OUT_DIGI,Screw_Terminal_01x04,T1_SEC","C5443561"
"J3,J10","MAINS_IN,SMPS_IN","C5443539"
"J6","GND_LIFT","C5360899"
"J7,J8","FAN1_12V,FAN2_12V","C5360898"
"L1,L2,L3,L4","4.7u","C845092"
"R1,R2,R3","1k","C5200473"
"R4","10","C340448"
"R5,R6","4.7k","C702850"
"R7,R8","360","C497314"
"R9,R10","1.5k","C26030"
"R11,R12","100","C49286685"
"R13","330","C49330184"
"R14","820","C17984"
"R15","56k","C4513"
"R16,R17,R18,R19","0.33R","C119970"
"U1","LM317AT/NOPB","C94659"
"U2","LM337T/NOPB","C2869423"
"U3","LD1117V33C","C672117"
